Effect Name,StartTime,EndTime,Duration,Description,Element,ElementType,Files
"On",00:00.050,00:00.700,00:00.650,"","Matrix",Model,
"On",00:01.650,00:02.750,00:01.100,"","Matrix",Model,
"On",00:31.300,00:31.850,00:00.550,"","Matrix",Model,
"On",00:33.050,00:33.400,00:00.350,"","Matrix",Model,
"On",00:33.650,00:34.050,00:00.400,"","Matrix",Model,
"On",00:35.700,00:36.050,00:00.350,"","Matrix",Model,
"On",00:36.300,00:36.700,00:00.400,"","Matrix",Model,
"On",00:38.350,00:38.700,00:00.350,"","Matrix",Model,
"On",00:39.000,00:39.400,00:00.400,"","Matrix",Model,
"On",00:39.650,00:40.200,00:00.550,"","Matrix",Model,
"On",00:00.700,00:01.550,00:00.850,"","Matrix",Model,
"On",00:03.850,00:04.500,00:00.650,"","Matrix",Model,
"On",00:05.150,00:06.600,00:01.450,"","Matrix",Model,
"On",00:06.700,00:06.800,00:00.100,"","Matrix",Model,
"On",00:07.050,00:07.150,00:00.100,"","Matrix",Model,
"On",00:08.000,00:09.450,00:01.450,"","Matrix",Model,
"On",00:29.350,00:29.550,00:00.200,"","Matrix",Model,
"On",00:29.600,00:29.950,00:00.350,"","Matrix",Model,
"On",00:30.000,00:30.200,00:00.200,"","Matrix",Model,
"On",00:30.300,00:30.500,00:00.200,"","Matrix",Model,
"On",00:30.550,00:30.850,00:00.300,"","Matrix",Model,
"On",00:30.950,00:31.100,00:00.150,"","Matrix",Model,
"On",00:31.350,00:41.300,00:09.950,"","Matrix",Model,
"On",00:02.600,00:03.850,00:01.250,"","Matrix",Model,
"On",00:04.450,00:05.200,00:00.750,"","Matrix",Model,
"On",00:06.400,00:06.700,00:00.300,"","Matrix",Model,
"On",00:07.150,00:07.350,00:00.200,"","Matrix",Model,
"On",00:09.400,00:09.800,00:00.400,"","Matrix",Model,
"On",00:17.350,00:17.800,00:00.450,"","Matrix",Model,
"On",00:18.700,00:19.200,00:00.500,"","Matrix",Model,
"On",00:20.000,00:20.450,00:00.450,"","Matrix",Model,
"On",00:29.050,00:29.250,00:00.200,"","Matrix",Model,
"On",00:06.800,00:07.050,00:00.250,"","Matrix",Model,
"On",00:07.350,00:07.450,00:00.100,"","Matrix",Model,
"On",00:07.450,00:08.000,00:00.550,"","Matrix",Model,
"On",00:09.650,00:10.050,00:00.400,"","Matrix",Model,
"On",00:12.000,00:12.200,00:00.200,"","Matrix",Model,
"On",00:12.200,00:12.350,00:00.150,"","Matrix",Model,
"On",00:12.550,00:13.400,00:00.850,"","Matrix",Model,
"On",00:16.000,00:17.350,00:01.350,"","Matrix",Model,
"On",00:28.650,00:28.950,00:00.300,"","Matrix",Model,
"On",00:29.900,00:32.600,00:02.700,"","Matrix",Model,
"On",00:09.900,00:10.750,00:00.850,"","Matrix",Model,
"On",00:14.700,00:15.050,00:00.350,"","Matrix",Model,
"On",00:17.650,00:18.100,00:00.450,"","Matrix",Model,
"On",00:18.750,00:20.050,00:01.300,"","Matrix",Model,
"On",00:20.350,00:20.800,00:00.450,"","Matrix",Model,
"Butterfly",00:21.350,00:24.300,00:02.950,"","Matrix",Model,
"Butterfly",00:26.700,00:29.250,00:02.550,"","Matrix",Model,
"On",00:10.600,00:12.000,00:01.400,"","Matrix",Model,
"On",00:12.350,00:12.550,00:00.200,"","Matrix",Model,
"On",00:13.400,00:14.100,00:00.700,"","Matrix",Model,
"On",00:15.000,00:15.400,00:00.400,"","Matrix",Model,
"On",00:18.050,00:18.800,00:00.750,"","Matrix",Model,
"On",00:20.700,00:21.450,00:00.750,"","Matrix",Model,
"Butterfly",00:24.050,00:27.050,00:03.000,"","Matrix",Model,
"Effect Count",56

Effect Usage Summary
Effect Name,Occurences,TotalTime
"Butterfly",3,00:08.500
"On",53,00:40.000

Summary of files used
