"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C44,C43,C39,C21,C12,C25,C4,C20,C5,C18,C35,C37,C36,C34,C32,C31,C11,C3,C29,C28,C27,C26,C24,C23,C22,C9,C8,C7,C6";"C_0603_1608Metric";29;"100nF";;;
2;"C1,C2";"C_0603_1608Metric";2;"2U2";;;
3;"R15";"R_0805_2012Metric";1;"10K";;;
4;"FB2,FB1";"ferrit_0805";2;"FerriteBead_Small";;;
5;"C42,C17,C14,C13,C16,C15,C38,C33,C30,C19";"C_0603_1608Metric";10;"1uF";;;
6;"C41,C40";"C_0603_1608Metric";2;"10uF";;;
7;"J4";"TE_4-1734839-0_1x40-1MP_P0.5mm_Horizontal";1;"Conn_01x40";;;
8;"R13,R14,R12,R5,R4";"R_0805_2012Metric";5;"47K";;;
9;"R3,R2";"R_0805_2012Metric";2;"0R";;;
10;"J3";"CUI_MSD-4-A";1;"Micro_SD_Card";;;
11;"D7";"pus";1;"PUSB3TB6";;;
12;",,,,,,";"";7;"";;;
13;"R7";"R_0805_2012Metric";1;"22k";;;
14;"R6,R1";"R_0805_2012Metric";2;"10k";;;
15;"D3";"LED_0805_2012Metric";1;"LED3v3";;;
16;"U4";"MCP1826S-5002EDB";1;"MCP1826S-3302E/DB";;;
17;"D4";"LED_0805_2012Metric";1;"led5v";;;
18;"U1";"TSOP-II-54_22.2x10.16mm_P0.8mm";1;"IS42S16400J-xT";;;
19;"PROG1";"Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal";1;"Conn_01x08";;;
20;"RJ_CAN1";"RJ45_Amphenol_RJHSE5380";1;"RJ45";;;
21;"U5";"LQFP-176_24x24mm_P0.5mm";1;"STM32H743IITx";;;
22;"D1";"D_SMA";1;"D_Schottky";;;
23;"R8,R9";"R_0805_2012Metric";2;"2k2";;;
24;"J5,J2";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
25;"R10";"R_0805_2012Metric";1;"10kΩ";;;
26;"SW2";"switch tacticle 3_4_2 smd";1;"SW_Push";;;
27;"D2";"D_SMB";1;"SMBJ5.0A-M3/5B";;;
28;"D5";"LED_0805_2012Metric";1;"CAN_TX";;;
29;"C10";"CP_7343-tantal";1;"C_Polarized_Small";;;
30;"SW1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile";1;"SW_DIP_x01";;;
31;"R11";"R_0805_2012Metric";1;"120Ω";;;
32;"CAN1";"SOIC127P599X175-8N";1;"SN65HVD230D";;;
33;"D6";"LED_0805_2012Metric";1;"CAN_RX";;;
34;"J1";"Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical";1;"Conn_01x02_Pin";;;
35;"U3";"FUSE_1808";1;"1808 SMD FUSEHOLDER";;;
