"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C14,C1,C5,C10,C17,C23,C16,C7,C24,C21,C19,C13";"C_0805_2012Metric";12;"100n";;;
2;"M2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M2";;;
3;"CAN1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
4;"C15";"C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3";1;"100n_foil";;;
5;"SW_CAN_T1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile";1;"SW_DIP_x01";;;
6;"R8";"R_0805_2012Metric";1;"6K8";;;
7;"1,0A_FUSE1,T1A_FUSE1";"FUSE_1808";2;"1808 SMD FUSEHOLDER";;;
8;"D4";"LED_0805_2012Metric";1;"CAN_RX";;;
9;"R2,R27,R25,R22";"R_0805_2012Metric";4;"47k";;;
10;"R14,R38,R12,R6,R24,R10,R16,R11,R17,R7,R40";"R_0805_2012Metric";11;"10k";;;
11;"DF_MUSIC1,DF_SFX1";"MODULE_DFR0299";2;"DFR0299";;;
12;"D12,D1,D15,D14,D16,D13,D11,D2,D10,D5";"LED_0805_2012Metric";10;"LED";;;
13;"U2";"DIP794W45P254L1930H508Q14";1;"SN74AHCT125N";;;
14;"D9";"D_SMB";1;"SMBJ5.0A";;;
15;"RJ_LED1,RJ_CAN1";"RJ45_Amphenol_RJHSE5380";2;"RJ45";;;
16;"D3";"LED_0805_2012Metric";1;"CAN_TX";;;
17;"C8";"C_0805_2012Metric";1;"2U2";;;
18;"PROG1";"JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical";1;"Conn_01x05_Pin";;;
19;"RV1";"RV_Disc_D16.5mm_W6.7mm_P7.5mm";1;"Varistor";;;
20;"C2";"C_0805_2012Metric";1;"1u";;;
21;"C3,C11";"CP_Elec_6.3x7.7";2;"470u";;;
22;"R35";"R_2512_6332Metric";1;"100R 1W";;;
23;"FAN_L1";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Conn_01x02_Socket";;;
24;"5VDC1,12VDC1";"JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal";2;"AXH-2AW-11";;;
25;"TB1";"SSOP-24_5.3x8.2mm_P0.65mm";1;"TB6612FNG";;;
26;"U5";"SON50P350X135X55-14N";1;"SP3012-06UTG";;;
27;"R29";"R_0805_2012Metric";1;"120R";;;
28;"R3";"R_0805_2012Metric";1;"20K";;;
29;"R9,R13";"R_0805_2012Metric";2;"2R2";;;
30;"M1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M1";;;
31;"GOAL1,GOAL2";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"Conn_01x03_Socket";;;
32;"R33,R34";"R_0805_2012Metric";2;"220R";;;
33;"D8";"D_SMA";1;"D_Schottky_SS14";;;
34;"D6,D7";"LED_0201_0603Metric";2;"LED";;;
35;"C4,C9,C20,C12";"C_0805_2012Metric";4;"22u";;;
36;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"1,5A";;;
37;"C18";"CP_EIA-7343-31_Kemet-D";1;"47u";;;
38;"audio_out1";"JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical";1;"Conn_01x03_Socket";;;
39;"C6";"C_0805_2012Metric";1;"4u7";;;
40;"U3";"Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical";1;"SSR-DA41F";;;
41;"Q1";"SOT-23";1;"BC817";;;
42;"R32,R31";"R_0805_2012Metric";2;"470R";;;
43;"R39";"R_0805_2012Metric";1;"6k8";;;
44;"R42,R43";"R_0805_2012Metric";2;"6k2";;;
45;"R21,R20";"R_0805_2012Metric";2;"2k2";;;
46;"R28";"R_0805_2012Metric";1;"100k";;;
47;"R30";"R_0805_2012Metric";1;"330R";;;
48;"R15,R18,R5";"R_0805_2012Metric";3;"33R";;;
49;"R36,R37";"R_0805_2012Metric";2;"30k";;;
50;"D17";"SOT23-3";1;"PESD1CAN";;;
51;"R23";"R_0805_2012Metric";1;"4k7";;;
52;"U4";"MCP1826S-5002EDB";1;"MCP1826S-3302E/DB";;;
53;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
54;"FL1";"FIL_ACM2012-900-2P-T001";1;"ACM2012-900-2P-T001";;;
55;"C22";"C_0805_2012Metric";1;"10u";;;
56;"R44";"R_0805_2012Metric";1;"10K";;;
57;"R1,R4";"R_0805_2012Metric";2;"1k";;;
58;"TF1";"CUI_MSD-4-A";1;"SD";;;
59;"R26";"R_0805_2012Metric";1;"1k8";;;
60;"R41";"R_0805_2012Metric";1;"22k";;;
